"","X","province","age_inclusion","n.x","X.x","n.y","knowledge","documentation","legal","finance","trust","inflation","bureaucracy","law","inappropriate","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_percentage","X.y","registered_value","zimra_value","compliance_percentage","X.x.x","bank_account_value","time_open_bank_value","sme_auction_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","savings_facility_value","advice_sources_value","availability_percentage","X.y.y","funds_start_value","funds_ongoing_value","frequency_bank_account_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","insurance_mm_value","investments_value","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo","35+",75,1,75,0.282161795895895,0.0939697913063531,0.122511095629467,0.180084174454635,0.171095686817134,0.0933648539580743,0.0278061224489796,0.180820359629145,0.100502603343377,0.481481481481482,0.346153846153846,0.482142857142857,43.66,1,0.466666666666667,0.44,45.33,1,0.346666666666667,0.807692307692308,0.0789473684210526,0.213333333333333,0.0133333333333333,0.76,0.859649122807018,0.493333333333333,0.573333333333333,46.07,1,0.4,0.426666666666667,0.961538461538462,0.666666666666667,0.213333333333333,0.1875,0.15625,0.28125,0.982456140350877,0,0.228070175438596,0.44,41.2,0.563407271740605,0.436592728259395,0.453333333333333,0.546666666666667,0.460698755435598,0.539301244564402,0.411977620332883,0.588022379667117,1.88941698084242,0.472354245210605,47.24
"2",2,"Bulawayo","Youth",53,2,53,0.349919116781823,0.142328042328042,0.193273686286109,0.175401359702366,0.0878956800111349,0.0797548332095812,0.0428571428571429,0.0810285853471824,0.117606230898156,0.49685534591195,0.111111111111111,0.435897435897436,34.8,2,0.339622641509434,0.320754716981132,33.02,2,0.339622641509434,0.777777777777778,0.0909090909090909,0.132075471698113,0.0377358490566038,0.735849056603774,0.794871794871795,0.358490566037736,0.415094339622642,40.92,2,0.226415094339623,0.30188679245283,0.944444444444444,0,0.150943396226415,0.357142857142857,0.357142857142857,0.142857142857143,0.948717948717949,0,0.230769230769231,0.415094339622642,33.96,0.652045369026501,0.347954630973499,0.330188679245283,0.669811320754717,0.409158509787441,0.590841490212559,0.339617841976333,0.660382158023667,1.73101040003556,0.432752600008889,43.28
"3",3,"Harare","35+",92,3,92,0.159072238046643,0.0923507462686567,0.201529064017263,0.252894215138678,0.0812339132952573,0.410957102705419,0.118330039525692,0.0498021668850729,0.030769016461376,0.467816000424696,0.593220338983051,0.728571428571429,59.65,3,0.75,0.728260869565217,73.91,3,0.641304347826087,0.779661016949153,0.142857142857143,0.217391304347826,0.152173913043478,0.760869565217391,0.7,0.445652173913043,0.384615384615385,46.94,3,0.263736263736264,0.271739130434783,0.966101694915254,0.428571428571429,0.260869565217391,0.2,0.35,0.65,1,0.0142857142857143,0.1,0.25,39.63,0.403464077340275,0.596535922659725,0.739130434782609,0.260869565217391,0.469391649863278,0.530608350136722,0.39627531643007,0.60372468356993,2.00826147841623,0.502065369604058,50.21
"4",4,"Harare","Youth",63,4,63,0.207787247528445,0.0776051475204018,0.29045601291364,0.199337834142641,0.069229334721138,0.264271077283372,0.0444444444444444,0.0511852719229768,0.0300425015179114,0.627240143369176,0.666666666666667,0.641025641025641,64.5,4,0.285714285714286,0.238095238095238,26.19,4,0.142857142857143,0.666666666666667,0.0882352941176471,0.111111111111111,0.0158730158730159,0.619047619047619,0.894736842105263,0.365079365079365,0.17741935483871,34.23,4,0.0476190476190476,0.0476190476190476,1,0,0.0476190476190476,0.142857142857143,0,0.357142857142857,0.948717948717949,0.0256410256410256,0.0256410256410256,0.111111111111111,22.95,0.355022516312839,0.644977483687161,0.261904761904762,0.738095238095238,0.342336267966282,0.657663732033718,0.229497354497355,0.770502645502645,1.18876090068124,0.29719022517031,29.72
"5",5,"Manicaland","35+",95,5,95,0.140844501087476,0.0666221033868093,0.163192714819427,0.328101449276421,0.155769787579468,0.176030160391649,0.0502676877202494,0.144289108806882,0.0734895834051616,0.487719298245614,0.641025641025641,0.85,65.96,5,0.673684210526316,0.515789473684211,59.47,5,0.410526315789474,0.461538461538462,0.102040816326531,0.231578947368421,0.0947368421052632,0.638297872340426,0.55,0.610526315789474,0.484210526315789,39.82,5,0.329787234042553,0.326315789473684,0.871794871794872,0.4,0.189473684210526,0.363636363636364,0.386363636363636,0.431818181818182,0.966666666666667,0.11864406779661,0.183333333333333,0.484210526315789,42.1,0.340418353576248,0.659581646423752,0.594736842105263,0.405263157894737,0.398161788619315,0.601838211380685,0.421003696287685,0.578996303712315,1.75432068058851,0.438580170147128,43.86
"6",6,"Manicaland","Youth",56,6,56,0.137091637631854,0.135298563869992,0.177484882842026,0.362754832702312,0.167844060701204,0.118870625173146,0.0486111111111111,0.127388336531194,0.120829699401128,0.546284271284271,0.315789473684211,0.594594594594595,48.56,6,0.553571428571429,0.482142857142857,51.79,6,0.339285714285714,0.526315789473684,0.0869565217391304,0.125,0.0714285714285714,0.678571428571429,0.552631578947368,0.375,0.446428571428571,35.57,6,0.303571428571429,0.339285714285714,0.947368421052632,0.5,0.107142857142857,0.285714285714286,0.428571428571429,0.357142857142857,0.894736842105263,0.105263157894737,0.135135135135135,0.392857142857143,39.97,0.514443886812308,0.485556113187692,0.517857142857143,0.482142857142857,0.355735352874941,0.644264647125059,0.399732439206123,0.600267560793877,1.78776882175051,0.446942205437629,44.69
"7",7,"Mashonaland Central","35+",41,7,41,0.112168312211416,0.0892255892255892,0.148128306878307,0.189905027922269,0.0917963502015226,0.0743236074270557,0.0452380952380952,0.11010632183908,0.0625258620689655,0.345965099886669,0.125,0.533333333333333,33.48,7,0.51219512195122,0.219512195121951,36.59,7,0.390243902439024,0.5,0.0714285714285714,0.195121951219512,0.0975609756097561,0.41025641025641,0.8125,0.682926829268293,0.333333333333333,38.82,7,0.075,0.195121951219512,0.9375,1,0.24390243902439,0.401785714285714,0.0625,0.133928571428571,1,0.142857142857143,0.4,0.634146341463415,43.56,0.665233855593333,0.334766144406667,0.365853658536585,0.634146341463415,0.3881524415061,0.6118475584939,0.435561846689895,0.564438153310105,1.85480180232591,0.463700450581478,46.37
"8",8,"Mashonaland Central","Youth",68,8,68,0.223035031504445,0.134964741045159,0.17302240461402,0.187188358931285,0.0783163754340733,0.0944025157232704,0.0498426773455378,0.0836064690026954,0.0460836751435603,0.47280865702187,0.357142857142857,0.44,42.33,8,0.426470588235294,0.132352941176471,27.94,8,0.205882352941176,0.461538461538462,0,0.117647058823529,0.0294117647058824,0.411764705882353,0.692307692307692,0.691176470588235,0.175438596491228,30.95,8,0.119402985074627,0.176470588235294,1,0,0.147058823529412,0.401785714285714,0,0,0.964285714285714,0.0833333333333333,0.0526315789473684,0.573529411764706,29.32,0.576682828611758,0.423317171388242,0.279411764705882,0.720588235294118,0.309463011475395,0.690536988524605,0.293208179121347,0.706791820878653,1.45876578391438,0.364691445978595,36.47
"9",9,"Mashonaland East","35+",109,9,109,0.0959125023950025,0.0377390710382514,0.108782013751276,0.264673989285208,0.147248720154334,0.398015548281506,0.0623993921677205,0.103567328194194,0.0886900449858245,0.519098418585877,0.0625,0.211111111111111,26.42,9,0.385321100917431,0.376146788990826,38.07,9,0.440366972477064,0.625,0.380952380952381,0.165137614678899,0.137614678899083,0.825688073394495,0.511111111111111,0.678899082568807,0.222222222222222,44.3,9,0.416666666666667,0.504587155963303,0.958333333333333,0,0.100917431192661,0.305555555555556,0.361111111111111,0.333333333333333,0.988888888888889,0.0666666666666667,0.177777777777778,0.669724770642202,40.7,0.735763490101004,0.264236509898996,0.380733944954128,0.619266055045872,0.442999126256007,0.557000873743993,0.406963557594292,0.593036442405708,1.96646011890543,0.491615029726358,49.16
"10",10,"Mashonaland East","Youth",23,10,23,0.150937950937951,0,0.152380952380952,0.422325293753865,0.0523809523809524,0.400793650793651,0.112698412698413,0.0595238095238095,0.0428571428571429,0.630434782608696,0,0.210526315789474,28.03,10,0.347826086956522,0.347826086956522,34.78,10,0.391304347826087,0.666666666666667,0.166666666666667,0.0869565217391304,0.0434782608695652,0.826086956521739,0.789473684210526,0.826086956521739,0.130434782608696,43.64,10,0.0869565217391304,0.260869565217391,1,0,0.130434782608696,0.5,0.5,0.25,1,0.105263157894737,0.263157894736842,0.478260869565217,38.12,0.719679633867277,0.280320366132723,0.347826086956522,0.652173913043478,0.436350538181202,0.563649461818798,0.381245232646834,0.618754767353166,1.88510149165184,0.471275372912959,47.13
"11",11,"Mashonaland West","35+",88,11,88,0.190500465659101,0.112573099415205,0.184567012678074,0.165485159123792,0.111880840605194,0.0214746512849061,0.0978720840562946,0.201620653880541,0.035233792979853,0.39364575992483,0.451612903225806,0.69811320754717,51.45,11,0.409090909090909,0.363636363636364,38.64,11,0.352272727272727,0.9,0.0869565217391304,0.329545454545455,0.0795454545454545,0.602272727272727,0.811320754716981,0.409090909090909,0.454545454545455,44.73,11,0.436781609195402,0.579545454545455,0.935483870967742,0.5,0.113636363636364,0.259852216748768,0.633620689655172,0.442118226600985,1,0.0943396226415094,0.692307692307692,0.375,50.52,0.485542709767398,0.514457290232602,0.386363636363636,0.613636363636364,0.447283333747649,0.552716666252351,0.505223812191591,0.494776187808409,1.82441349207027,0.456103373017568,45.61
"12",12,"Mashonaland West","Youth",74,12,74,0.218494137927898,0.0719806763285024,0.208367218212756,0.196954931392732,0.0772573719887694,0.0145833333333333,0.0890608950843727,0.0843375829098113,0.0372397660818713,0.432599265932599,0.416666666666667,0.777777777777778,54.23,12,0.337837837837838,0.310810810810811,32.43,12,0.324324324324324,1,0,0.297297297297297,0.027027027027027,0.608108108108108,0.911111111111111,0.405405405405405,0.432432432432432,44.51,12,0.459459459459459,0.472972972972973,1,0,0.0675675675675676,0.295454545454545,0.704545454545455,0.363636363636364,0.955555555555556,0.0454545454545455,0.666666666666667,0.391891891891892,45.19,0.457652096540985,0.542347903459015,0.324324324324324,0.675675675675676,0.445078411745078,0.554921588254922,0.451933751933752,0.548066248066248,1.67898858454414,0.419747146136035,41.97
"13",13,"Masvingo","35+",105,13,105,0.0654828308494614,0.0329996292176492,0.180242071800912,0.250410093713621,0.249379648411089,0.264241946778711,0.0310565870910698,0.025814479638009,0.0423060481144627,0.487148962148962,0.111111111111111,0.27027027027027,28.95,13,0.257142857142857,0.219047619047619,23.81,13,0.171428571428571,0.555555555555556,0.0588235294117647,0.238095238095238,0.019047619047619,0.352380952380952,0.702702702702703,0.838095238095238,0.142857142857143,34.21,13,0.29126213592233,0.438095238095238,1,1,0.114285714285714,0.08,0.36,0.24,1,0.0810810810810811,0.243243243243243,0.2,42.07,0.710489885489886,0.289510114510114,0.238095238095238,0.761904761904762,0.342109616619421,0.657890383380579,0.420663951052301,0.579336048947699,1.71135869125685,0.427839672814211,42.78
"14",14,"Masvingo","Youth",49,14,49,0.1218715393134,0.0238372093023256,0.202325581395349,0.185108226580528,0.113803854875283,0.457748724489796,0.03125,0.0272222222222222,0.0672222222222222,0.523809523809524,0.333333333333333,0.631578947368421,49.62,14,0.183673469387755,0.142857142857143,16.33,14,0.183673469387755,0.888888888888889,0.0476190476190476,0.26530612244898,0,0.408163265306122,0.45,0.775510204081633,0.25531914893617,36.38,14,0.1875,0.448979591836735,1,0,0.122448979591837,0.153846153846154,0.307692307692308,0.230769230769231,1,0.1,0.473684210526316,0.346938775510204,36.43,0.503759398496241,0.496240601503759,0.163265306122449,0.836734693877551,0.363831127407622,0.636168872592378,0.364321604147732,0.635678395852268,1.39517743617404,0.348794359043511,34.88
"15",15,"Matabeleland North","35+",97,15,97,0.188261357821532,0.0527729384436701,0.0940766550522648,0.395318522310865,0.148453198367444,0.128417899929528,0.0892857142857143,0.0938503144366356,0.0300319431590889,0.557579731114728,0.0487804878048781,0.6625,42.3,15,0.56701030927835,0.34020618556701,45.36,15,0.422680412371134,0.634146341463415,0,0.154639175257732,0.11340206185567,0.824742268041237,0.8375,0.154639175257732,0.3125,38.38,15,0.134020618556701,0.185567010309278,0.926829268292683,0,0.154639175257732,0.266666666666667,0.333333333333333,0.333333333333333,0.9625,0,0.025,0.0721649484536082,28.28,0.577046593693465,0.422953406306535,0.45360824742268,0.54639175257732,0.383805492694102,0.616194507305898,0.282837862850278,0.717162137149722,1.69729819666053,0.424324549165131,42.43
"16",16,"Matabeleland North","Youth",45,16,45,0.291201126915413,0.00900900900900901,0.138411138411138,0.39514872014872,0.0651515151515152,0.1125,0.105098605098605,0.072022607022607,0.0266666666666667,0.562962962962963,0.166666666666667,0.5,40.99,16,0.4,0.244444444444444,32.22,16,0.266666666666667,0.333333333333333,0,0.111111111111111,0.111111111111111,0.888888888888889,0.9,0.177777777777778,0.311111111111111,34.44,16,0.0888888888888889,0.155555555555556,0.916666666666667,0,0.177777777777778,0.4,0,0.4,0.95,0,0.025,0.111111111111111,26.88,0.590123456790123,0.409876543209877,0.322222222222222,0.677777777777778,0.344444444444444,0.655555555555556,0.26875,0.73125,1.52554012345679,0.381385030864197,38.14
"17",17,"Matabeleland South","35+",106,17,106,0.109190246146768,0.0685468076772425,0.0447766108499804,0.28243805069892,0.140415915915916,0.213611111111111,0.0673048048048048,0.0965976430976431,0.102287537537538,0.367654986522911,0.463768115942029,0.466666666666667,43.27,17,0.745283018867924,0.632075471698113,68.87,17,0.650943396226415,0.492753623188406,0.1,0.292452830188679,0.150943396226415,0.433962264150943,0.565217391304348,0.471698113207547,0.481132075471698,40.43,17,0.216981132075472,0.19811320754717,0.971014492753623,0.111111111111111,0.132075471698113,0.354838709677419,0.112903225806452,0.403225806451613,0.978260869565217,0,0.0652173913043478,0.433962264150943,33.15,0.567303410289464,0.432696589710536,0.688679245283019,0.311320754716981,0.404344787773828,0.595655212226172,0.331475306845123,0.668524693154877,1.99180275019143,0.497950687547859,49.8
"18",18,"Matabeleland South","Youth",33,18,33,0.165519705904856,0.0749625187406297,0.0908368360462626,0.23766913186392,0.101924714486075,0.152297747055812,0.185144927536232,0.10625,0.0514901823281907,0.466329966329966,0.6,0.333333333333333,46.66,18,0.545454545454545,0.484848484848485,51.52,18,0.303030303030303,0.6,0.0454545454545455,0.151515151515152,0.0303030303030303,0.272727272727273,1,0.303030303030303,0.393939393939394,34.44,18,0.0909090909090909,0.0606060606060606,1,1,0.121212121212121,0.4,0.1,0.2,0.888888888888889,0,0.222222222222222,0.181818181818182,35.55,0.5334455667789,0.4665544332211,0.515151515151515,0.484848484848485,0.344444444444444,0.655555555555556,0.35547138047138,0.64452861952862,1.74851290684624,0.43712822671156,43.71
"19",19,"Midlands","35+",73,19,73,0.279717426482503,0.0697916666666667,0.0805794241253976,0.146388639738628,0.0470749659245797,0.096776499013261,0.0367391304347826,0.129523676805189,0.188843421722908,0.476407914764079,0.217391304347826,0.285714285714286,32.65,19,0.684931506849315,0.342465753424658,51.37,19,0.315068493150685,0.782608695652174,0.04,0.150684931506849,0.0958904109589041,0.191780821917808,0.714285714285714,0.410958904109589,0.465753424657534,35.19,19,0.295774647887324,0.26027397260274,0.956521739130435,0.5,0.123287671232877,0.140909090909091,0.472727272727273,0.281818181818182,1,0.0714285714285714,0.285714285714286,0.273972602739726,38.85,0.67349549839127,0.32650450160873,0.513698630136986,0.486301369863014,0.351892377359918,0.648107622640082,0.388535669682542,0.611464330317458,1.92762217557072,0.481905543892679,48.19
"20",20,"Midlands","Youth",53,20,53,0.298416738261355,0.20268068580089,0.20420057960291,0.181069162171983,0.0165811965811966,0.0422008547008547,0.0808852330591461,0.166601289242799,0.146515078213191,0.625786163522013,0.375,0.571428571428571,52.41,20,0.30188679245283,0.188679245283019,24.53,20,0.150943396226415,0.5,0,0.0188679245283019,0,0.132075471698113,0.571428571428571,0.339622641509434,0.320754716981132,22.6,20,0.176470588235294,0.207547169811321,1,0,0.0188679245283019,0,0.5,0,0.714285714285714,0.142857142857143,0.142857142857143,0.150943396226415,25.45,0.475928421683139,0.524071578316861,0.245283018867925,0.754716981132075,0.22596585804133,0.77403414195867,0.254485756566778,0.745514243433222,1.20166305515917,0.300415763789793,30.04
