"","X","province","formality_inclusion","n.x","X.x","n.y","knowledge","documentation","legal","finance","trust","inflation","bureaucracy","law","inappropriate","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_percentage","X.y","registered_value","zimra_value","compliance_percentage","X.x.x","bank_account_value","time_open_bank_value","sme_auction_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","savings_facility_value","advice_sources_value","availability_percentage","X.y.y","funds_start_value","funds_ongoing_value","frequency_bank_account_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","insurance_mm_value","investments_value","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo","Formal",50,1,50,0.154433890577508,0.04375,0.038764880952381,0.188091016548463,0.188687943262411,0.165721040189125,0.1,0.077676460655184,0.132308763931104,0.42,0.275,0.476190476190476,39.04,1,1,1,100,1,0.8,0.775,0.214285714285714,0.4,0.06,0.84,0.785714285714286,0.6,0.82,58.83,1,0.44,0.48,0.95,0.333333333333333,0.36,0.225,0.2,0.275,1,0,0.333333333333333,0.4,41.64,0.609603174603175,0.390396825396825,1,0,0.588333333333333,0.411666666666667,0.416388888888889,0.583611111111111,2.6143253968254,0.653581349206349,65.36
"2",2,"Bulawayo","Informal",78,2,78,0.330074679842122,0.137137137137137,0.175448717948718,0.18020298809543,0.124170478170478,0.05855694692904,0.0301351351351351,0.147794871794872,0.0955982905982906,0.591168091168091,0,0.452830188679245,34.8,2,0.0384615384615385,0,1.92,2,0.0512820512820513,1,0,0.0384615384615385,0,0.692307692307692,0.87037037037037,0.333333333333333,0.307692307692308,36.59,2,0.256410256410256,0.307692307692308,1,0,0.0769230769230769,0.333333333333333,0.333333333333333,0,0.944444444444444,0,0.148148148148148,0.448717948717949,32.08,0.652000573384221,0.347999426615779,0.0192307692307692,0.980769230769231,0.36593858816081,0.63406141183919,0.320750237416904,0.679249762583096,1.3579201681927,0.339480042048176,33.95
"3",3,"Harare","Formal",82,3,82,0.18429884760001,0.0731800766283525,0.106356048166393,0.215528288345005,0.0910044544827154,0.557830831608006,0.334848484848485,0.0279790660225443,0.0231366459627329,0.541596765174001,0.606060606060606,0.733333333333333,62.7,3,1,1,100,3,0.804878048780488,0.772727272727273,0.177777777777778,0.304878048780488,0.146341463414634,0.731707317073171,0.711864406779661,0.439024390243902,0.4375,50.3,3,0.259259259259259,0.25609756097561,0.96969696969697,0.25,0.280487804878049,0.2,0.24,0.6,0.983333333333333,0,0.1,0.219512195121951,36.32,0.373003098477353,0.626996901522647,1,0,0.502966525064155,0.497033474935845,0.363198926938764,0.636801073061236,2.23916855048027,0.559792137620068,55.98
"4",4,"Harare","Informal",73,4,73,0.208282176874444,0.0908703857129706,0.304266777133389,0.205150452295903,0.0617002012072435,0.277983474618201,0.0395091135045568,0.0518191501952894,0.0370659249615339,0.65709030948757,0.5,0.653061224489796,60.34,4,0.0684931506849315,0,3.42,4,0.0273972602739726,0.5,0.0526315789473684,0.0273972602739726,0.0410958904109589,0.671232876712329,0.836734693877551,0.383561643835616,0.150684931506849,29.9,4,0.0821917808219178,0.0958904109589041,1,0.5,0.0547945205479452,0,0.5,0.25,0.979591836734694,0.0408163265306122,0.0408163265306122,0.164383561643836,30.9,0.396616155340878,0.603383844659122,0.0342465753424658,0.965753424657534,0.298970681759846,0.701029318240154,0.30904039698071,0.69095960301929,1.0388738094239,0.259718452355975,25.97
"5",5,"Manicaland","Formal",76,5,76,0.122391057872424,0.0974378881987578,0.0742383910085773,0.233568306549673,0.175801045055703,0.234504913076342,0.161684782608696,0.139143580137369,0.134363600512669,0.470852130325815,0.509433962264151,0.830508474576271,60.36,5,1,1,100,5,0.697368421052632,0.471698113207547,0.145833333333333,0.355263157894737,0.171052631578947,0.786666666666667,0.559322033898305,0.605263157894737,0.526315789473684,47.99,5,0.413333333333333,0.355263157894737,0.924528301886792,0.428571428571429,0.25,0.37037037037037,0.425925925925926,0.407407407407407,0.949152542372881,0.120689655172414,0.23728813559322,0.578947368421053,45.51,0.396401810944588,0.603598189055412,1,0,0.479864811666732,0.520135188333268,0.45512313557913,0.54487686442087,2.33138975819045,0.582847439547613,58.28
"6",6,"Manicaland","Informal",75,6,75,0.158265068103665,0.0906947319990798,0.221753594826853,0.334284471400652,0.147517437628218,0.136677410690304,0.0336870255348516,0.140059910049095,0.0737595507529992,0.654714714714715,0.8,0.631578947368421,69.54,6,0.253333333333333,0,12.67,6,0.0666666666666667,0.6,0,0.0266666666666667,0,0.52,0.538461538461538,0.44,0.413333333333333,28.95,6,0.226666666666667,0.306666666666667,0.6,0,0.0666666666666667,0,0,0.5,0.923076923076923,0.102564102564103,0.0526315789473684,0.32,25.82,0.304568779305621,0.695431220694379,0.126666666666667,0.873333333333333,0.289458689458689,0.710541310541311,0.258189383715699,0.741810616284301,0.978883519146676,0.244720879786669,24.47
"7",7,"Mashonaland Central","Formal",18,7,18,0.182222222222222,0,0,0.25,0.05,0.166666666666667,0,0.25,0.04,0.251994130985728,0.25,0.454545454545455,31.88,7,1,1,100,7,0.888888888888889,0.333333333333333,0.125,0.555555555555556,0.222222222222222,0.75,0.818181818181818,0.888888888888889,0.642857142857143,58.05,7,0.166666666666667,0.166666666666667,0.9375,1,0.444444444444444,0.45,0,0.1125,1,0.0833333333333333,0.25,0.777777777777778,44.91,0.681153471489606,0.318846528510394,1,0,0.580547538880872,0.419452461119128,0.449074074074074,0.550925925925926,2.71077508444455,0.677693771111138,67.77
"8",8,"Mashonaland Central","Informal",91,8,91,0.18746683983865,0.132584043346023,0.178182432257452,0.191039426221614,0.0820172225435383,0.082609710550887,0.0482278909645014,0.083836152499125,0.0530894544052439,0.472880238752132,0.214285714285714,0.482758620689655,39,8,0.351648351648352,0,17.58,8,0.153846153846154,0.642857142857143,0,0.0659340659340659,0.021978021978022,0.351648351648352,0.709677419354839,0.648351648351648,0.157894736842105,30.58,8,0.0898876404494382,0.186813186813187,1,0,0.131868131868132,0.333333333333333,0.0833333333333333,0,0.96875,0.115384615384615,0.142857142857143,0.56043956043956,30.11,0.610025142090833,0.389974857909167,0.175824175824176,0.824175824175824,0.305798615645814,0.694201384354186,0.301055578706562,0.698944421293438,1.39270351226738,0.348175878066846,34.82
"9",9,"Mashonaland East","Formal",49,9,49,0.040703781512605,0,0.0351503759398496,0.414120177423196,0.0666620879120879,0.652573529411765,0,0.144642857142857,0.059453781512605,0.402332361516035,0.0425531914893617,0.111111111111111,18.53,9,1,1,100,9,0.959183673469388,0.659574468085106,0.5,0.346938775510204,0.306122448979592,0.73469387755102,0.527777777777778,0.897959183673469,0.25,57.58,9,0.387755102040816,0.428571428571429,0.978723404255319,0,0.224489795918367,0.382352941176471,0.441176470588235,0.382352941176471,1,0.0277777777777778,0.305555555555556,0.836734693877551,44.96,0.814667778627831,0.185332221372169,1,0,0.575805578338506,0.424194421661494,0.449624175911499,0.550375824088501,2.84009753287784,0.710024383219459,71
"10",10,"Mashonaland East","Informal",83,10,83,0.123101492003931,0.0356515630488233,0.141033378095899,0.282732251321459,0.139123788840628,0.332012195121951,0.0810056799198129,0.080609756097561,0.0807592716338122,0.652570938174055,0.1,0.26027397260274,33.76,10,0.0120481927710843,0,0.6,10,0.120481927710843,0.5,0,0.036144578313253,0.0120481927710843,0.879518072289157,0.575342465753425,0.590361445783133,0.180722891566265,32.16,10,0.341463414634146,0.481927710843373,0.9,0,0.036144578313253,0,0,0,0.986301369863014,0.0958904109589041,0.136986301369863,0.518072289156627,29.14,0.662385029741068,0.337614970258932,0.00602409638554217,0.993975903614458,0.321624397131907,0.678375602868093,0.291398839594932,0.708601160405068,1.28143236285345,0.320358090713362,32.04
"11",11,"Mashonaland West","Formal",55,11,55,0.1375,0.0144927536231884,0.0740489130434783,0.0946461609620722,0.175,0.13209219858156,0,0.0625,0.162765957446808,0.133285233285233,0.489795918367347,0.730769230769231,45.13,11,1,1,100,11,0.890909090909091,0.9375,0.25,0.854545454545454,0.145454545454545,0.945454545454545,0.826923076923077,0.854545454545454,0.872727272727273,73.09,11,0.763636363636364,0.872727272727273,0.959183673469388,0.5,0.145454545454545,0.287927844588344,0.70004625346901,0.432469935245143,1,0.117647058823529,0.865384615384615,0.836363636363636,62.34,0.54871653919273,0.45128346080727,1,0,0.730895493395493,0.269104506604507,0.623403433263487,0.376596566736513,2.90301546585171,0.725753866462927,72.58
"12",12,"Mashonaland West","Informal",107,12,107,0.218983406541978,0.113611361136114,0.205347646641989,0.186606955806827,0.0913399485293076,0.0103412305876127,0.0962202777654815,0.166975843040748,0.0283973467564334,0.569804696501928,0,0.739130434782609,43.63,12,0.0560747663551402,0,2.8,12,0.0560747663551402,1,0,0.0373831775700935,0.00934579439252336,0.429906542056075,0.891304347826087,0.177570093457944,0.224299065420561,31.4,12,0.283018867924528,0.355140186915888,1,0,0.0654205607476635,0.125,0.25,0.125,0.956521739130435,0.0217391304347826,0.466666666666667,0.149532710280374,31.65,0.563688289571821,0.436311710428179,0.0280373831775701,0.97196261682243,0.313987087453158,0.686012912546842,0.316503321841695,0.683496678158305,1.22221608204424,0.305554020511061,30.56
"13",13,"Masvingo","Formal",30,13,30,0.0164983164983165,0.0151515151515152,0.0746001683501683,0.131734006734007,0.268772893772894,0.542448292448292,0,0.0612874779541446,0.0637205387205387,0.357142857142857,0.227272727272727,0.352941176470588,31.25,13,1,1,100,13,0.733333333333333,0.636363636363636,0.0666666666666667,0.7,0.0666666666666667,0.566666666666667,0.352941176470588,0.9,0.6,51.36,13,0.310344827586207,0.533333333333333,1,1,0.266666666666667,0.0952380952380952,0.523809523809524,0.380952380952381,1,0,0.235294117647059,0.633333333333333,49.82,0.687547746371276,0.312452253628724,1,0,0.513626460685284,0.486373539314716,0.49824768988055,0.50175231011945,2.69942189693711,0.674855474234277,67.49
"14",14,"Masvingo","Informal",124,14,124,0.0901252639555204,0.031672318050027,0.20330627602138,0.230299895122771,0.19530631947331,0.308626135660556,0.0316906423586384,0.0250832261213472,0.04599264825602,0.552350147157386,0,0.41025641025641,32.09,14,0.0483870967741935,0,2.42,14,0.0403225806451613,0.8,0.0434782608695652,0.137096774193548,0,0.32258064516129,0.725,0.798387096774194,0.0737704918032787,32.67,14,0.245901639344262,0.419354838709677,1,0,0.0806451612903226,0.117647058823529,0.117647058823529,0.0588235294117647,1,0.125,0.358974358974359,0.153225806451613,30.64,0.679131147528735,0.320868852471265,0.0241935483870968,0.975806451612903,0.326737316605226,0.673262683394774,0.306434954319088,0.693565045680912,1.33649696684015,0.334124241710036,33.41
"15",15,"Matabeleland North","Formal",44,15,44,0.0707792207792208,0.0333333333333333,0.0817307692307692,0.418864468864469,0.126103896103896,0.261904761904762,0,0.0788239538239538,0.0174242424242424,0.441558441558442,0.075,0.558823529411765,35.85,15,1,1,100,15,0.909090909090909,0.575,0,0.454545454545455,0.363636363636364,0.772727272727273,0.705882352941177,0.340909090909091,0.636363636363636,52.87,15,0.113636363636364,0.25,0.975,0,0.113636363636364,0.3,0.25,0.35,0.941176470588235,0,0.0882352941176471,0.204545454545455,29.89,0.641539343009931,0.358460656990069,1,0,0.528683897801545,0.471316102198455,0.298852495543672,0.701147504456328,2.46907573635515,0.617268934088787,61.73
"16",16,"Matabeleland North","Informal",98,16,98,0.267083999622101,0.0281862745098039,0.139338235294118,0.378184698142006,0.132669603726658,0.0952211193007148,0.0865082164799953,0.0822469645950387,0.0314298350919315,0.656296267074986,0.0769230769230769,0.627906976744186,45.37,16,0.295918367346939,0,14.8,16,0.13265306122449,0.538461538461538,0,0,0,0.877551020408163,0.918604651162791,0.0816326530612245,0.164948453608247,30.15,16,0.122448979591837,0.142857142857143,0.769230769230769,0,0.183673469387755,0,0,0,0.965116279069767,0,0,0.0306122448979592,18.45,0.54629122641925,0.45370877358075,0.147959183673469,0.852040816326531,0.301539041991828,0.698460958008172,0.184494907086269,0.815505092913731,1.18028435917082,0.295071089792704,29.51
"17",17,"Matabeleland South","Formal",83,17,83,0.0988006611354417,0.0646879756468798,0.0222155072074492,0.199222979982508,0.151922514126202,0.275649065596388,0.0961538461538461,0.00960475400773908,0.0952980197053946,0.372864279417321,0.535211267605634,0.441860465116279,45,17,1,1,100,17,0.855421686746988,0.52112676056338,0.147058823529412,0.385542168674699,0.192771084337349,0.530120481927711,0.568181818181818,0.421686746987952,0.506024096385542,45.87,17,0.144578313253012,0.144578313253012,0.985915492957746,0.2,0.120481927710843,0.390625,0.125,0.40625,0.954545454545455,0,0.0909090909090909,0.325301204819277,32.4,0.550021329286922,0.449978670713078,1,0,0.458659296370539,0.541340703629461,0.32401539978737,0.67598460021263,2.33269602544483,0.583174006361208,58.32
"18",18,"Matabeleland South","Informal",56,18,56,0.162353658033382,0.0833333333333333,0.0799565018315018,0.280089474444313,0.11261396011396,0.176373954599761,0.0854014041514042,0.0974358974358974,0.08252442002442,0.541233766233766,0,0.454545454545455,33.19,18,0.25,0,12.5,18,0.142857142857143,0.375,0,0.0714285714285714,0.0178571428571429,0.196428571428571,0.909090909090909,0.446428571428571,0.392857142857143,28.35,18,0.25,0.196428571428571,0.875,0,0.142857142857143,0.125,0,0.125,1,0,0.0909090909090909,0.446428571428571,27.1,0.668073593073593,0.331926406926407,0.125,0.875,0.283549783549784,0.716450216450216,0.270968614718615,0.729031385281385,1.34759199134199,0.336897997835498,33.69
"19",19,"Midlands","Formal",35,19,35,0.132995642701525,0.0580246913580247,0.120792483660131,0.128213902308105,0.065,0.161111111111111,0,0.157843137254902,0.245196078431373,0.481632653061224,0.16,0.333333333333333,32.5,19,1,1,100,19,0.714285714285714,0.68,0.0476190476190476,0.314285714285714,0.142857142857143,0.342857142857143,0.583333333333333,0.628571428571429,0.8,47.26,19,0.352941176470588,0.285714285714286,0.96,1,0.228571428571429,0.140909090909091,0.522727272727273,0.281818181818182,1,0.0833333333333333,0.416666666666667,0.314285714285714,46.56,0.675011337868481,0.324988662131519,1,0,0.472645502645503,0.527354497354497,0.465580595874714,0.534419404125286,2.6132374363887,0.653309359097174,65.33
"20",20,"Midlands","Informal",91,20,91,0.314848838661814,0.147330550845615,0.134402852049911,0.167146937212555,0.029281045751634,0.0577318891925633,0.0512856558831243,0.138518384277717,0.141422887166443,0.602496269162936,0.666666666666667,0.444444444444444,57.12,20,0.340659340659341,0,17.03,20,0.0659340659340659,0.833333333333333,0.0196078431372549,0.010989010989011,0.021978021978022,0.0989010989010989,0.777777777777778,0.285714285714286,0.252747252747253,26.3,20,0.204545454545455,0.21978021978022,1,0,0.021978021978022,0,0,0,0.777777777777778,0.111111111111111,0,0.186813186813187,21.02,0.428797539908651,0.571202460091349,0.17032967032967,0.82967032967033,0.262998076723567,0.737001923276433,0.210167147667148,0.789832852332852,1.07229243462904,0.268073108657259,26.81
