"","X","province","sector_inclusion","n","barriers_score","barriers_normalise","compliance_score","compliance_normalise","availability_score","availability_normalise","usage_score","usage_normalise","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo","Agriculture",15,1.41241290455576,0.128401173141433,0.533333333333333,0.266666666666667,4.56,0.506666666666667,5.17333333333333,0.431111111111111,0.871598826858567,0.128401173141433,0.266666666666667,0.733333333333333,0.506666666666667,0.493333333333333,0.431111111111111,0.568888888888889,2.07604327130301,0.519010817825753,51.9
"2",2,"Bulawayo","Mining",4,2.0172619047619,0.183387445887446,1,0.5,4.5,0.5,NA,NA,0.816612554112554,0.183387445887446,0.5,0.5,0.5,0.5,NA,NA,1.81661255411255,0.454153138528138,45.42
"3",3,"Bulawayo","Other",94,2.13474524851136,0.194067749864669,0.819148936170213,0.409574468085106,4.10437518729398,0.456041687477109,4.90099827444713,0.408416522870594,0.805932250135331,0.194067749864669,0.409574468085106,0.590425531914894,0.456041687477109,0.543958312522891,0.408416522870594,0.591583477129406,2.07996492856814,0.519991232142035,52
"4",4,"Bulawayo","Retail",15,1.51282574568289,0.137529613243899,0.933333333333333,0.466666666666667,4.63269230769231,0.51474358974359,4.03141025641026,0.335950854700855,0.862470386756101,0.137529613243899,0.466666666666667,0.533333333333333,0.51474358974359,0.48525641025641,0.335950854700855,0.664049145299145,2.17983149786721,0.544957874466803,54.5
"5",5,"Harare","Agriculture",10,2.27080498866213,0.206436817151103,1,0.5,4.45,0.494444444444444,5.2,0.433333333333333,0.793563182848897,0.206436817151103,0.5,0.5,0.494444444444444,0.505555555555556,0.433333333333333,0.566666666666667,2.22134096062667,0.555335240156668,55.53
"6",6,"Harare","Mining",3,2.33333333333333,0.212121212121212,1.66666666666667,0.833333333333333,5.63333333333333,0.625925925925926,NA,NA,0.787878787878788,0.212121212121212,0.833333333333333,0.166666666666667,0.625925925925926,0.374074074074074,NA,NA,2.24713804713805,0.561784511784512,56.18
"7",7,"Harare","Other",109,2.58290711638331,0.234809737853029,1.18348623853211,0.591743119266055,3.94539841139615,0.438377601266239,4.32632692292182,0.360527243576819,0.765190262146971,0.234809737853029,0.591743119266055,0.408256880733945,0.438377601266239,0.561622398733761,0.360527243576819,0.639472756423181,2.15583822625608,0.538959556564021,53.9
"8",8,"Harare","Retail",33,2.80690917460954,0.25517356132814,0.757575757575758,0.378787878787879,3.73824029771398,0.415360033079331,4.43212121212121,0.369343434343434,0.74482643867186,0.25517356132814,0.378787878787879,0.621212121212121,0.415360033079331,0.584639966920669,0.369343434343434,0.630656565656566,1.9083177848825,0.477079446220626,47.71
"9",9,"Manicaland","Agriculture",11,3.05875661375661,0.278068783068783,0.818181818181818,0.409090909090909,4.67844155844156,0.51982683982684,5.38199134199134,0.448499278499279,0.721931216931217,0.278068783068783,0.409090909090909,0.590909090909091,0.51982683982684,0.48017316017316,0.448499278499279,0.551500721500721,2.09934824434824,0.524837061087061,52.48
"10",10,"Manicaland","Mining",5,2.40678571428571,0.218798701298701,1.2,0.6,2.8,0.311111111111111,NA,NA,0.781201298701299,0.218798701298701,0.6,0.4,0.311111111111111,0.688888888888889,NA,NA,1.69231240981241,0.423078102453103,42.31
"11",11,"Manicaland","Other",97,2.45991335254513,0.223628486595011,1.01030927835052,0.505154639175258,3.90211763120098,0.433568625688997,5.42573444330288,0.452144536941906,0.776371513404989,0.223628486595011,0.505154639175258,0.494845360824742,0.433568625688997,0.566431374311003,0.452144536941906,0.547855463058094,2.16723931521115,0.541809828802787,54.18
"12",12,"Manicaland","Retail",38,2.69549911703549,0.245045374275954,1.52631578947368,0.763157894736842,4.31838235294118,0.479820261437909,NA,NA,0.754954625724046,0.245045374275954,0.763157894736842,0.236842105263158,0.479820261437909,0.520179738562091,NA,NA,1.9979327818988,0.499483195474699,49.95
"13",13,"Mashonaland Central","Agriculture",18,2.49473563784488,0.226794148894989,0.611111111111111,0.305555555555556,3.8865873015873,0.4318430335097,5.82261904761905,0.485218253968254,0.773205851105011,0.226794148894989,0.305555555555556,0.694444444444444,0.4318430335097,0.5681569664903,0.485218253968254,0.514781746031746,1.99582269413852,0.49895567353463,49.9
"14",14,"Mashonaland Central","Mining",2,1.42261904761905,0.129329004329004,0,0,NA,NA,NA,NA,0.870670995670996,0.129329004329004,0,1,NA,NA,NA,NA,0.870670995670996,0.217667748917749,21.77
"15",15,"Mashonaland Central","Other",80,1.66516862144795,0.151378965586177,0.6,0.3,3.28950320512821,0.365500356125356,NA,NA,0.848621034413823,0.151378965586177,0.3,0.7,0.365500356125356,0.634499643874644,NA,NA,1.51412139053918,0.378530347634795,37.85
"16",16,"Mashonaland Central","Retail",11,1.39905753968254,0.127187049062049,1,0.5,4.14242424242424,0.46026936026936,NA,NA,0.872812950937951,0.127187049062049,0.5,0.5,0.46026936026936,0.53973063973064,NA,NA,1.83308231120731,0.458270577801828,45.83
"17",17,"Mashonaland East","Agriculture",15,1.57839854589855,0.143490776899868,0.8,0.4,5.20192307692308,0.577991452991453,NA,NA,0.856509223100132,0.143490776899868,0.4,0.6,0.577991452991453,0.422008547008547,NA,NA,1.83450067609159,0.458625169022896,45.86
"18",18,"Mashonaland East","Mining",3,1.85793650793651,0.168903318903319,1.33333333333333,0.666666666666667,3.83333333333333,0.425925925925926,3.23333333333333,0.269444444444444,0.831096681096681,0.168903318903319,0.666666666666667,0.333333333333333,0.425925925925926,0.574074074074074,0.269444444444444,0.730555555555556,2.19313371813372,0.548283429533429,54.83
"19",19,"Mashonaland East","Other",96,1.56426734514106,0.142206122285551,0.760416666666667,0.380208333333333,4.46804084073821,0.496448982304245,5.17108275496433,0.430923562913694,0.857793877714449,0.142206122285551,0.380208333333333,0.619791666666667,0.496448982304245,0.503551017695755,0.430923562913694,0.569076437086306,2.16537475626572,0.54134368906643,54.13
"20",20,"Mashonaland East","Retail",18,1.82070385632886,0.165518532393532,0.555555555555556,0.277777777777778,3.97222222222222,0.441358024691358,NA,NA,0.834481467606468,0.165518532393532,0.277777777777778,0.722222222222222,0.441358024691358,0.558641975308642,NA,NA,1.5536172700756,0.388404317518901,38.84
"21",21,"Mashonaland West","Agriculture",34,2.56886761173768,0.23353341924888,0.970588235294118,0.485294117647059,4.90014705882353,0.544460784313725,NA,NA,0.76646658075112,0.23353341924888,0.485294117647059,0.514705882352941,0.544460784313725,0.455539215686275,NA,NA,1.7962214827119,0.449055370677976,44.91
"22",22,"Mashonaland West","Mining",9,2.45486111111111,0.223169191919192,1.11111111111111,0.555555555555556,5.80277777777778,0.644753086419753,NA,NA,0.776830808080808,0.223169191919192,0.555555555555556,0.444444444444444,0.644753086419753,0.355246913580247,NA,NA,1.97713945005612,0.494284862514029,49.43
"23",23,"Mashonaland West","Other",90,2.11588125697843,0.192352841543493,0.633333333333333,0.316666666666667,4.38298538011696,0.486998375568551,5.96265062693372,0.496887552244477,0.807647158456507,0.192352841543493,0.316666666666667,0.683333333333333,0.486998375568551,0.513001624431449,0.496887552244477,0.503112447755523,2.1081997529362,0.527049938234051,52.7
"24",24,"Mashonaland West","Retail",29,2.28510005032561,0.207736368211419,0.551724137931034,0.275862068965517,4.19211822660098,0.465790914066776,NA,NA,0.792263631788581,0.207736368211419,0.275862068965517,0.724137931034483,0.465790914066776,0.534209085933224,NA,NA,1.53391661482087,0.383479153705218,38.35
"25",25,"Masvingo","Agriculture",13,1.93393939393939,0.175812672176309,0.307692307692308,0.153846153846154,NA,NA,NA,NA,0.824187327823691,0.175812672176309,0.153846153846154,0.846153846153846,NA,NA,NA,NA,0.978033481669845,0.244508370417461,24.45
"26",26,"Masvingo","Other",129,1.70072066336927,0.154610969397207,0.418604651162791,0.209302325581395,3.63717531703131,0.404130590781257,4.16235703872136,0.346863086560113,0.845389030602793,0.154610969397207,0.209302325581395,0.790697674418605,0.404130590781257,0.595869409218743,0.346863086560113,0.653136913439887,1.80568503352556,0.45142125838139,45.14
"27",27,"Masvingo","Retail",12,2.33633658008658,0.212394234553325,0.666666666666667,0.333333333333333,4.38,0.486666666666667,5.30090909090909,0.441742424242424,0.787605765446675,0.212394234553325,0.333333333333333,0.666666666666667,0.486666666666667,0.513333333333333,0.441742424242424,0.558257575757576,2.0493481896891,0.512337047422275,51.23
"28",28,"Matabeleland North","Agriculture",11,1.75440115440115,0.159491014036469,0.909090909090909,0.454545454545455,3.03863636363636,0.337626262626263,NA,NA,0.840508985963531,0.159491014036469,0.454545454545455,0.545454545454545,0.337626262626263,0.662373737373737,NA,NA,1.63268070313525,0.408170175783812,40.82
"29",29,"Matabeleland North","Mining",1,2,0.181818181818182,2,1,NA,NA,NA,NA,0.818181818181818,0.181818181818182,1,0,NA,NA,NA,NA,1.81818181818182,0.454545454545454,45.45
"30",30,"Matabeleland North","Other",88,1.92450564701887,0.174955058819897,0.693181818181818,0.346590909090909,3.39039057026511,0.37671006336279,NA,NA,0.825044941180103,0.174955058819897,0.346590909090909,0.653409090909091,0.37671006336279,0.62328993663721,NA,NA,1.5483459136338,0.387086478408451,38.71
"31",31,"Matabeleland North","Retail",44,1.91817771832617,0.174379792575106,1.09090909090909,0.545454545454545,4.10579051383399,0.456198945981555,NA,NA,0.825620207424894,0.174379792575106,0.545454545454545,0.454545454545455,0.456198945981555,0.543801054018445,NA,NA,1.82727369886099,0.456818424715248,45.68
"32",32,"Matabeleland South","Agriculture",16,1.28625130821559,0.116931937110509,1.25,0.625,3.39583333333333,0.377314814814815,5.52777777777778,0.460648148148148,0.883068062889491,0.116931937110509,0.625,0.375,0.377314814814815,0.622685185185185,0.460648148148148,0.539351851851852,2.34603102585245,0.586507756463113,58.65
"33",33,"Matabeleland South","Mining",11,1.36939277983921,0.124490252712655,1.18181818181818,0.590909090909091,4.13560606060606,0.459511784511785,5.33358585858586,0.444465488215488,0.875509747287345,0.124490252712655,0.590909090909091,0.409090909090909,0.459511784511785,0.540488215488215,0.444465488215488,0.555534511784512,2.37039611092371,0.592599027730927,59.26
"34",34,"Matabeleland South","Other",54,1.81776255321826,0.16525114120166,1.14814814814815,0.574074074074074,3.4747444276856,0.386082714187289,3.99607843137255,0.333006535947712,0.83474885879834,0.16525114120166,0.574074074074074,0.425925925925926,0.386082714187289,0.613917285812711,0.333006535947712,0.666993464052288,2.12791218300741,0.531978045751854,53.2
"35",35,"Matabeleland South","Retail",58,2.49317441634036,0.226652219667306,1.46551724137931,0.732758620689655,3.99048259558164,0.443386955064627,4.28682950191571,0.357235791826309,0.773347780332694,0.226652219667306,0.732758620689655,0.267241379310345,0.443386955064627,0.556613044935373,0.357235791826309,0.642764208173691,2.30672914791328,0.576682286978321,57.67
"36",36,"Midlands","Agriculture",7,2.67890306122449,0.243536641929499,0.571428571428571,0.285714285714286,3.08571428571429,0.342857142857143,NA,NA,0.756463358070501,0.243536641929499,0.285714285714286,0.714285714285714,0.342857142857143,0.657142857142857,NA,NA,1.38503478664193,0.346258696660482,34.63
"37",37,"Midlands","Mining",5,2.11257936507937,0.19205266955267,0.8,0.4,2.6,0.288888888888889,NA,NA,0.80794733044733,0.19205266955267,0.4,0.6,0.288888888888889,0.711111111111111,NA,NA,1.49683621933622,0.374209054834055,37.42
"38",38,"Midlands","Other",78,1.67542078526962,0.152310980479056,0.769230769230769,0.384615384615385,3.40862470862471,0.378736078736079,5.34467754467754,0.445389795389795,0.847689019520944,0.152310980479056,0.384615384615385,0.615384615384615,0.378736078736079,0.621263921263921,0.445389795389795,0.554610204610205,2.0564302782622,0.514107569565551,51.41
"39",39,"Midlands","Retail",36,1.93072562358277,0.175520511234797,0.916666666666667,0.458333333333333,2.88571428571429,0.320634920634921,3.09313725490196,0.257761437908497,0.824479488765203,0.175520511234797,0.458333333333333,0.541666666666667,0.320634920634921,0.679365079365079,0.257761437908497,0.742238562091503,1.86120918064195,0.465302295160488,46.53
