"","X","province","size_inclusion","n","barriers_score","barriers_normalise","compliance_score","compliance_normalise","availability_score","availability_normalise","usage_score","usage_normalise","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo","medium",1,1.5,0.136363636363636,2,1,NA,NA,NA,NA,0.863636363636364,0.136363636363636,1,0,NA,NA,NA,NA,1.86363636363636,0.465909090909091,46.59
"2",2,"Bulawayo","micro",98,1.85712070745095,0.168829155222813,0.540816326530612,0.270408163265306,3.86769459170772,0.42974384352308,4.22226787081718,0.351855655901431,0.831170844777187,0.168829155222813,0.270408163265306,0.729591836734694,0.42974384352308,0.57025615647692,0.351855655901431,0.648144344098569,1.883178507467,0.470794626866751,47.08
"3",3,"Bulawayo","small",29,2.13513987084791,0.194103624622537,1.6551724137931,0.827586206896552,5.43889516780072,0.604321685311191,5.3664367816092,0.4472030651341,0.805896375377463,0.194103624622537,0.827586206896552,0.172413793103448,0.604321685311191,0.395678314688809,0.4472030651341,0.5527969348659,2.68500733271931,0.671251833179827,67.13
"4",4,"Harare","medium",3,2.51666666666667,0.228787878787879,2,1,6.1,0.677777777777778,5.5,0.458333333333333,0.771212121212121,0.228787878787879,1,0,0.677777777777778,0.322222222222222,0.458333333333333,0.541666666666667,2.90732323232323,0.726830808080808,72.68
"5",5,"Harare","micro",107,2.71090542171876,0.246445947428978,0.785046728971963,0.392523364485981,3.72825828450757,0.414250920500841,4.93219423321015,0.411016186100846,0.753554052571022,0.246445947428978,0.392523364485981,0.607476635514019,0.414250920500841,0.585749079499159,0.411016186100846,0.588983813899154,1.97134452365869,0.492836130914672,49.28
"6",6,"Harare","small",45,2.45909273359518,0.223553884872289,1.75555555555556,0.877777777777778,4.4153667953668,0.490596310596311,4.16384846384846,0.346987371987372,0.776446115127711,0.223553884872289,0.877777777777778,0.122222222222222,0.490596310596311,0.509403689403689,0.346987371987372,0.653012628012628,2.49180757548917,0.622951893872293,62.3
"7",7,"Manicaland","medium",1,1,0.0909090909090909,2,1,NA,NA,NA,NA,0.909090909090909,0.0909090909090909,1,0,NA,NA,NA,NA,1.90909090909091,0.477272727272727,47.73
"8",8,"Manicaland","micro",110,2.45389189036778,0.223081080942525,0.863636363636364,0.431818181818182,3.68144736743947,0.409049707493275,3.94312694250194,0.328593911875162,0.776918919057475,0.223081080942525,0.431818181818182,0.568181818181818,0.409049707493275,0.590950292506725,0.328593911875162,0.671406088124838,1.94638072024409,0.486595180061024,48.66
"9",9,"Manicaland","small",40,2.6741414171036,0.243103765191237,1.85,0.925,5.04983447924624,0.561092719916249,6.50715105328108,0.542262587773424,0.756896234808763,0.243103765191237,0.925,0.075,0.561092719916249,0.438907280083751,0.542262587773424,0.457737412226576,2.78525154249844,0.696312885624609,69.63
"10",10,"Mashonaland Central","medium",1,0,0,2,1,NA,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,2,0.5,50
"11",11,"Mashonaland Central","micro",79,1.57058592384087,0.142780538530988,0.443037974683544,0.221518987341772,3.02789501796239,0.336432779773599,5.25482875774015,0.437902396478346,0.857219461469012,0.142780538530988,0.221518987341772,0.778481012658228,0.336432779773599,0.663567220226401,0.437902396478346,0.562097603521654,1.85307362506273,0.463268406265682,46.33
"12",12,"Mashonaland Central","small",31,1.99031324784034,0.180937567985485,1.06451612903226,0.532258064516129,4.36040485901442,0.484489428779381,NA,NA,0.819062432014515,0.180937567985485,0.532258064516129,0.467741935483871,0.484489428779381,0.515510571220619,NA,NA,1.83580992531003,0.458952481327506,45.9
"13",13,"Mashonaland East","medium",7,1.27777777777778,0.116161616161616,2,1,6.99047619047619,0.776719576719577,7.36547619047619,0.613789682539683,0.883838383838384,0.116161616161616,1,0,0.776719576719577,0.223280423280423,0.613789682539683,0.386210317460317,3.27434764309764,0.818586910774411,81.86
"14",14,"Mashonaland East","micro",94,1.57329601595899,0.143026910541726,0.521276595744681,0.26063829787234,4.05374916651512,0.450416574057236,NA,NA,0.856973089458274,0.143026910541726,0.26063829787234,0.73936170212766,0.450416574057236,0.549583425942764,NA,NA,1.56802796138785,0.392006990346963,39.2
"15",15,"Mashonaland East","small",31,1.91817918853633,0.174379926230576,1.16129032258065,0.580645161290323,5.19208211143695,0.576898012381883,6.0128054740958,0.501067122841316,0.825620073769424,0.174379926230576,0.580645161290323,0.419354838709677,0.576898012381883,0.423101987618117,0.501067122841316,0.498932877158684,2.48423037028295,0.621057592570736,62.11
"16",16,"Mashonaland West","medium",8,1.25,0.113636363636364,2,1,8.25,0.916666666666667,NA,NA,0.886363636363636,0.113636363636364,1,0,0.916666666666667,0.083333333333333,NA,NA,2.8030303030303,0.700757575757576,70.08
"17",17,"Mashonaland West","micro",111,2.08764883910818,0.189786258100744,0.396396396396396,0.198198198198198,3.84401801334651,0.427113112594056,NA,NA,0.810213741899256,0.189786258100744,0.198198198198198,0.801801801801802,0.427113112594056,0.572886887405944,NA,NA,1.43552505269151,0.358881263172877,35.89
"18",18,"Mashonaland West","small",43,2.44369039187112,0.222153671988283,1.30232558139535,0.651162790697674,5.44230098389982,0.604700109322202,6.98791085271318,0.582325904392765,0.777846328011717,0.222153671988283,0.651162790697674,0.348837209302326,0.604700109322202,0.395299890677798,0.582325904392765,0.417674095607235,2.61603513242436,0.654008783106089,65.4
"19",19,"Masvingo","medium",1,1,0.0909090909090909,2,1,NA,NA,NA,NA,0.909090909090909,0.0909090909090909,1,0,NA,NA,NA,NA,1.90909090909091,0.477272727272727,47.73
"20",20,"Masvingo","micro",114,1.60994806745198,0.146358915222908,0.12280701754386,0.0614035087719298,3.52385772122614,0.391539746802905,3.67119112827317,0.305932594022764,0.853641084777092,0.146358915222908,0.0614035087719298,0.93859649122807,0.391539746802905,0.608460253197095,0.305932594022764,0.694067405977236,1.61251693437469,0.403129233593673,40.31
"21",21,"Masvingo","small",39,1.7629782279752,0.160270747997745,1.28205128205128,0.641025641025641,4.32660043774595,0.480733381971772,5.63164510068535,0.469303758390446,0.839729252002255,0.160270747997745,0.641025641025641,0.358974358974359,0.480733381971772,0.519266618028228,0.469303758390446,0.530696241609554,2.43079203339011,0.607698008347529,60.77
"22",22,"Matabeleland North","medium",3,1.94444444444444,0.176767676767677,2,1,5.63333333333333,0.625925925925926,NA,NA,0.823232323232323,0.176767676767677,1,0,0.625925925925926,0.374074074074074,NA,NA,2.44915824915825,0.612289562289562,61.23
"23",23,"Matabeleland North","micro",104,1.95559595831465,0.177781450755878,0.596153846153846,0.298076923076923,3.2229121342988,0.358101348255422,NA,NA,0.822218549244122,0.177781450755878,0.298076923076923,0.701923076923077,0.358101348255422,0.641898651744578,NA,NA,1.47839682057647,0.369599205144117,36.96
"24",24,"Matabeleland North","small",37,1.87597241617403,0.170542946924912,1.43243243243243,0.716216216216216,4.34997497497497,0.483330552774997,NA,NA,0.829457053075088,0.170542946924912,0.716216216216216,0.283783783783784,0.483330552774997,0.516669447225003,NA,NA,2.0290038220663,0.507250955516575,50.73
"25",25,"Matabeleland South","medium",18,0.799626517273576,0.0726933197521433,1.88888888888889,0.944444444444444,5.18111111111111,0.575679012345679,5.26709401709402,0.438924501424501,0.927306680247857,0.0726933197521433,0.944444444444444,0.055555555555556,0.575679012345679,0.424320987654321,0.438924501424501,0.561075498575499,2.88635463846248,0.72158865961562,72.16
"26",26,"Matabeleland South","micro",81,2.6035908988361,0.236690081712373,0.975308641975309,0.487654320987654,3.47546983256178,0.386163314729086,3.78911579563753,0.315759649636461,0.763309918287627,0.236690081712373,0.487654320987654,0.512345679012346,0.386163314729086,0.613836685270914,0.315759649636461,0.684240350363539,1.95288720364083,0.488221800910207,48.82
"27",27,"Matabeleland South","small",40,2.10943510648602,0.191766827862366,1.675,0.8375,4.13781512605042,0.459757236227824,4.44488795518207,0.370407329598506,0.808233172137634,0.191766827862366,0.8375,0.1625,0.459757236227824,0.540242763772176,0.370407329598506,0.629592670401494,2.47589773796396,0.618974434490991,61.9
"28",28,"Midlands","medium",3,1.1,0.1,1.66666666666667,0.833333333333333,6.33333333333333,0.703703703703704,NA,NA,0.9,0.1,0.833333333333333,0.166666666666667,0.703703703703704,0.296296296296296,NA,NA,2.43703703703704,0.609259259259259,60.93
"29",29,"Midlands","micro",97,1.78189841513804,0.161990765012549,0.56701030927835,0.283505154639175,2.06310247598907,0.22923360844323,4.96389802832005,0.413658169026671,0.838009234987451,0.161990765012549,0.283505154639175,0.716494845360825,0.22923360844323,0.77076639155677,0.413658169026671,0.586341830973329,1.76440616709653,0.441101541774132,44.11
"30",30,"Midlands","small",26,1.79144359381179,0.162858508528345,1.57692307692308,0.788461538461538,5.03115821227276,0.559017579141418,5.8695875907718,0.489132299230983,0.837141491471655,0.162858508528345,0.788461538461538,0.211538461538462,0.559017579141418,0.440982420858582,0.489132299230983,0.510867700769017,2.67375290830559,0.668438227076399,66.84
